OID_,CID,L5_20001227_NIR,L5_20010128_NIR,L5_20010418_NIR,L5_20021201_NIR,L5_20030219_NIR,L5_20031220_NIR,L5_20040410_NIR,L5_20041222_NIR,L5_20050312_NIR,L5_20051123_NIR,L5_20060227_NIR,L5_20070129_NIR,L5_20080421_NIR,L5_20081030_NIR,L5_20090118_NIR,L5_20090307_NIR,L5_20101207_NIR,L5_20101223_NIR,L5_20110108_NIR,L5_20110313_NIR,L5_20110430_NIR
153,1,0.225865000000000,0.196302500000000,0.228147500000000,0.189345000000000,0.193167500000000,0.200895000000000,0.231365000000000,0.199465000000000,0.192617500000000,0.192397500000000,0.204332500000000,0.179280000000000,0.217202500000000,0.170232500000000,0.152247500000000,0.183927500000000,0.177740000000000,0.197980000000000,0.171882500000000,0.191957500000000,0.260047500000000
154,1,0.212940000000000,0.201225000000000,0.232327500000000,0.204745000000000,0.197815000000000,0.200812500000000,0.208017500000000,0.205020000000000,0.207907500000000,0.187392500000000,0.191820000000000,0.178977500000000,0.203122500000000,0.195807500000000,0.200097500000000,0.207880000000000,0.182662500000000,0.191627500000000,0.187530000000000,0.195147500000000,0.204360000000000
155,1,0.189812500000000,0.180517500000000,0.236067500000000,0.179060000000000,0.174385000000000,0.179610000000000,0.236012500000000,0.199712500000000,0.196550000000000,0.192425000000000,0.187750000000000,0.197622500000000,0.238102500000000,0.239477500000000,0.200372500000000,0.212115000000000,0.207715000000000,0.213545000000000,0.203672500000000,0.207055000000000,0.236947500000000
156,1,0.212885000000000,0.211867500000000,0.215112500000000,0.209805000000000,0.188135000000000,0.190087500000000,0.211895000000000,0.199162500000000,0.188740000000000,0.201665000000000,0.191737500000000,0.192782500000000,0.220172500000000,0.204277500000000,0.210767500000000,0.220255000000000,0.177602500000000,0.175292500000000,0.176915000000000,0.187062500000000,0.201472500000000
157,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
158,1,0.166135000000000,0.175017500000000,0.331740000000000,0.174137500000000,0.169545000000000,0.147682500000000,0.320245000000000,0.166025000000000,0.181287500000000,0.192562500000000,0.175787500000000,0.165200000000000,0.307760000000000,0.222647500000000,0.184477500000000,0.216267500000000,0.197815000000000,0.181012500000000,0.156152500000000,0.214865000000000,0.300335000000000
159,1,0.208237500000000,0.196357500000000,0.306027500000000,0.194542500000000,0.197925000000000,0.190307500000000,0.253805000000000,0.210685000000000,0.188795000000000,0.202132500000000,0.180077500000000,0.165310000000000,0.292112500000000,0.135637500000000,0.125325000000000,0.155135000000000,0.172817500000000,0.187145000000000,0.161322500000000,0.196055000000000,0.295797500000000
160,1,0.237772500000000,0.228175000000000,0.215167500000000,0.209997500000000,0.216845000000000,0.211647500000000,0.208622500000000,0.210657500000000,0.188822500000000,0.207055000000000,0.200290000000000,0.202490000000000,0.220530000000000,0.208622500000000,0.211152500000000,0.216790000000000,0.187805000000000,0.175787500000000,0.182387500000000,0.203122500000000,0.217560000000000
161,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
162,1,0.166162500000000,0.164347500000000,0.320905000000000,0.173945000000000,0.150515000000000,0.152990000000000,0.320080000000000,0.165997500000000,0.177465000000000,0.187722500000000,0.159480000000000,0.169792500000000,0.324755000000000,0.205102500000000,0.157500000000000,0.183295000000000,0.162835000000000,0.180985000000000,0.161487500000000,0.210575000000000,0.336002500000000
163,1,0.201610000000000,0.201527500000000,0.252430000000000,0.204937500000000,0.197952500000000,0.200922500000000,0.234747500000000,0.188217500000000,0.200290000000000,0.201967500000000,0.200042500000000,0.197622500000000,0.247947500000000,0.221602500000000,0.205542500000000,0.224325000000000,0.192755000000000,0.208237500000000,0.198090000000000,0.210465000000000,0.279022500000000
164,1,0.189757500000000,0.180187500000000,0.269837500000000,0.199740000000000,0.179060000000000,0.174275000000000,0.282102500000000,0.182745000000000,0.181205000000000,0.197182500000000,0.167262500000000,0.169710000000000,0.309135000000000,0.278197500000000,0.205652500000000,0.236177500000000,0.257435000000000,0.257325000000000,0.229907500000000,0.256170000000000,0.292195000000000
165,1,0.243520000000000,0.222867500000000,0.246215000000000,0.220392500000000,0.226195000000000,0.126122500000000,0.155602500000000,0.109705000000000,0.100767500000000,0.153155000000000,0.102417500000000,0.155795000000000,0.214040000000000,0.200125000000000,0.194872500000000,0.208072500000000,0.187722500000000,0.202737500000000,0.187557500000000,0.202820000000000,0.272505000000000
166,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
167,1,0.212582500000000,0.179885000000000,0.252457500000000,0.194240000000000,0.164512500000000,0.200702500000000,0.238405000000000,0.221602500000000,0.207797500000000,0.226112500000000,0.208017500000000,0.183460000000000,0.223775000000000,0.221272500000000,0.215992500000000,0.212032500000000,0.202407500000000,0.218770000000000,0.203122500000000,0.202462500000000,0.227102500000000
168,1,0.147930000000000,0.126562500000000,0.195092500000000,0.163412500000000,0.183707500000000,0.147490000000000,0.265080000000000,0.137810000000000,0.184972500000000,0.167840000000000,0.180187500000000,0.220915000000000,0.237525000000000,0.268985000000000,0.254437500000000,0.241292500000000,0.247452500000000,0.253035000000000,0.229660000000000,0.214535000000000,0.282570000000000
169,1,0.148150000000000,0.148040000000000,0.181645000000000,0.184230000000000,0.145702500000000,0.147600000000000,0.216075000000000,0.171470000000000,0.169710000000000,0.187475000000000,0.151615000000000,0.156015000000000,0.264997500000000,0.226360000000000,0.227982500000000,0.233647500000000,0.197952500000000,0.214837500000000,0.208732500000000,0.226415000000000,0.328110000000000
170,1,0.226195000000000,0.212170000000000,0.222152500000000,0.215360000000000,0.216845000000000,0.195835000000000,0.234720000000000,0.199630000000000,0.185082500000000,0.207165000000000,0.208705000000000,0.198200000000000,0.234362500000000,0.221960000000000,0.222290000000000,0.224902500000000,0.212912500000000,0.225617500000000,0.219430000000000,0.222647500000000,0.243382500000000
171,1,0.183597500000000,0.174825000000000,0.300252500000000,0.189345000000000,0.164677500000000,0.152852500000000,0.178290000000000,0.143337500000000,0.127580000000000,0.148232500000000,0.118670000000000,0.155767500000000,0.220640000000000,0.221437500000000,0.157390000000000,0.167097500000000,0.157720000000000,0.186210000000000,0.166492500000000,0.175980000000000,0.301407500000000
172,1,0.189372500000000,0.185330000000000,0.252100000000000,0.178895000000000,0.188272500000000,0.195532500000000,0.249707500000000,0.193717500000000,0.196412500000000,0.192177500000000,0.195917500000000,0.188300000000000,0.217010000000000,0.187117500000000,0.184120000000000,0.195752500000000,0.167675000000000,0.186375000000000,0.176970000000000,0.198832500000000,0.263182500000000
