OID_,CID,L7_20010104_NIR,L7_20010205_NIR,L7_20010426_NIR,L7_20021123_NIR,L7_20030211_NIR,L7_20031228_NIR,L7_20040402_NIR,L7_20040418_NIR,L7_20041214_NIR,L7_20050304_NIR,L7_20050320_NIR,L7_20051201_NIR,L7_20060307_NIR,L7_20070206_NIR,L7_20080429_NIR,L7_20081022_NIR,L7_20090110_NIR,L7_20090227_NIR,L7_20101215_NIR,L7_20101231_NIR,L7_20110321_NIR,L7_20110508_NIR
315,1,0.169655000000000,0.180765000000000,0.198805000000000,0.171305000000000,0.176530000000000,0.167812500000000,nan,0.209282500000000,0.158242500000000,0.163742500000000,0.165942500000000,0.159067500000000,0.161817500000000,0.166355000000000,0.222235000000000,0.191352500000000,nan,nan,0.174220000000000,0.178867500000000,0.203287500000000,0.245885000000000
316,1,0.180545000000000,0.174027500000000,0.203067500000000,0.201225000000000,0.185962500000000,nan,0.210190000000000,0.220200000000000,0.212940000000000,0.193965000000000,0.206175000000000,0.211950000000000,0.212225000000000,0.198942500000000,0.244042500000000,0.222977500000000,0.215552500000000,nan,0.219100000000000,0.229247500000000,0.231695000000000,0.245582500000000
317,1,0.206615000000000,0.180875000000000,0.199355000000000,0.221382500000000,0.201665000000000,nan,0.225755000000000,0.231172500000000,0.220255000000000,0.211152500000000,0.215167500000000,0.215002500000000,0.221327500000000,0.202160000000000,0.215525000000000,0.227625000000000,0.224105000000000,0.228010000000000,0.222757500000000,0.234335000000000,nan,nan
318,1,0.170260000000000,0.174605000000000,0.265822500000000,0.201390000000000,0.183212500000000,0.175540000000000,nan,0.264145000000000,0.191407500000000,0.181480000000000,nan,0.183625000000000,0.230265000000000,nan,0.288647500000000,0.255152500000000,0.235380000000000,nan,0.212032500000000,0.213930000000000,0.232932500000000,0.298767500000000
319,1,0.231255000000000,0.226470000000000,0.226855000000000,0.234445000000000,0.223445000000000,0.235380000000000,0.232740000000000,nan,0.230732500000000,nan,0.218055000000000,0.214782500000000,0.212610000000000,0.224737500000000,0.232987500000000,0.245005000000000,0.234307500000000,0.237030000000000,0.248057500000000,0.248332500000000,0.235957500000000,0.238350000000000
320,1,0.210272500000000,0.204030000000000,0.213325000000000,0.144822500000000,0.148562500000000,0.235847500000000,nan,0.256527500000000,0.235215000000000,0.232135000000000,0.226800000000000,0.246545000000000,0.246462500000000,0.227955000000000,0.229495000000000,0.218385000000000,0.204937500000000,nan,0.215965000000000,0.217945000000000,0.220090000000000,0.242007500000000
321,1,0.203205000000000,0.194240000000000,0.202737500000000,0.198062500000000,0.189262500000000,0.201912500000000,0.206697500000000,0.202407500000000,0.191187500000000,0.185467500000000,0.174247500000000,0.222620000000000,0.149002500000000,0.221520000000000,0.236920000000000,0.245912500000000,0.227460000000000,0.232410000000000,0.215497500000000,0.222097500000000,0.232630000000000,0.227762500000000
322,1,0.180682500000000,0.200290000000000,0.262687500000000,0.187695000000000,0.173367500000000,0.152550000000000,0.172817500000000,0.194982500000000,nan,0.146830000000000,0.145867500000000,0.197540000000000,0.182800000000000,0.202517500000000,0.267857500000000,nan,0.230485000000000,0.232740000000000,0.230017500000000,nan,0.248855000000000,0.333967500000000
323,1,0.166685000000000,0.158022500000000,0.196192500000000,0.191600000000000,0.126507500000000,nan,0.184257500000000,0.235352500000000,0.187557500000000,0.155712500000000,0.170480000000000,0.194185000000000,0.187640000000000,0.202352500000000,0.253860000000000,0.236452500000000,0.231007500000000,0.232520000000000,0.226717500000000,0.225535000000000,nan,nan
324,1,0.224380000000000,0.220145000000000,0.286585000000000,0.237827500000000,0.214260000000000,nan,0.251577500000000,0.281195000000000,0.230980000000000,0.189317500000000,0.194020000000000,0.218192500000000,0.216762500000000,0.208155000000000,0.288290000000000,0.240495000000000,0.215855000000000,0.227872500000000,0.222675000000000,0.221190000000000,0.240302500000000,nan
