OID_,CID,L7_20140124_R,L7_20140209_R,L7_20140313_R,L7_20141023_R,L7_20141210_R,L7_20150127_R,L7_20150212_R,L7_20170116_R,L7_20170201_R,L7_20170508_R,L7_20171202_R,L7_20180308_R,L7_20181205_R,L7_20200125_R,L7_20201124_R,L7_20201210_R,L7_20211127_R,L7_20211229_R,L7_20220114_R,L7_20220404_R,L7_20221024_R,L7_20221202_R,L7_20221214_R,L7_20221219_R,L7_20230319_R,L7_20230324_R,L7_20230916_R,L7_20230921_R
19,1,0.030697500000000,0.030202500000000,0.039827500000000,0.032182500000000,0.024235000000000,nan,0.035702500000000,nan,nan,0.054375000000000,0.031165000000000,0.038562500000000,0.027590000000000,0.031302500000000,0.053275000000000,0.068427500000000,0.065705000000000,0.052120000000000,0.067932500000000,0.058912500000000,0.050882500000000,nan,0.060370000000000,0.050057500000000,0.052395000000000,nan,0.031027500000000,0.032925000000000
20,1,0.042962500000000,0.038590000000000,0.041560000000000,0.029762500000000,0.031660000000000,0.037325000000000,nan,0.025060000000000,0.027040000000000,0.045245000000000,0.025940000000000,0.024620000000000,0.015077500000000,0.020467500000000,0.018157500000000,0.019092500000000,0.031907500000000,nan,0.018075000000000,0.028195000000000,0.023492500000000,nan,0.024812500000000,0.019065000000000,0.020990000000000,nan,nan,0.013482500000000
21,1,0.022667500000000,0.025335000000000,0.024675000000000,0.021870000000000,0.023905000000000,nan,0.030670000000000,nan,nan,0.059737500000000,0.033475000000000,0.040102500000000,0.030202500000000,0.028580000000000,0.023355000000000,0.028745000000000,0.031715000000000,0.025555000000000,0.025252500000000,0.026077500000000,0.020440000000000,nan,0.019752500000000,0.023547500000000,0.018212500000000,nan,0.014280000000000,0.018542500000000
22,1,0.057812500000000,0.054952500000000,0.063890000000000,0.035537500000000,0.048242500000000,nan,0.053990000000000,nan,nan,0.067327500000000,0.046372500000000,0.059627500000000,0.040322500000000,0.049700000000000,0.042467500000000,0.048792500000000,0.044337500000000,0.041670000000000,0.043072500000000,0.037215000000000,0.025197500000000,nan,0.035840000000000,0.045712500000000,0.035317500000000,nan,0.026517500000000,0.023272500000000
23,1,nan,0.018322500000000,0.024235000000000,0.023987500000000,nan,0.024867500000000,0.027700000000000,0.027782500000000,0.021457500000000,0.035510000000000,0.020302500000000,0.027590000000000,0.017552500000000,0.015022500000000,0.020660000000000,nan,nan,0.019202500000000,0.018157500000000,nan,0.020550000000000,nan,0.025280000000000,nan,0.021045000000000,nan,nan,0.028002500000000
24,1,0.062817500000000,0.064192500000000,0.073020000000000,0.029405000000000,0.047857500000000,0.061855000000000,0.063697500000000,0.057455000000000,0.059655000000000,0.047197500000000,0.038865000000000,0.072580000000000,0.045300000000000,0.044365000000000,0.039525000000000,0.039772500000000,0.038342500000000,0.041862500000000,0.043045000000000,nan,0.022530000000000,nan,0.040817500000000,nan,0.026022500000000,nan,nan,0.023355000000000
25,1,nan,0.021347500000000,0.024785000000000,0.021512500000000,nan,0.019670000000000,0.024015000000000,0.027260000000000,0.019230000000000,0.025747500000000,0.028085000000000,0.024950000000000,0.020220000000000,0.023575000000000,0.010072500000000,nan,nan,0.016287500000000,0.021677500000000,nan,0.019340000000000,nan,0.010897500000000,nan,0.021320000000000,nan,nan,0.018515000000000
26,1,0.017745000000000,0.021320000000000,0.024950000000000,0.017635000000000,0.019175000000000,0.020055000000000,0.020742500000000,0.032925000000000,0.020110000000000,0.031385000000000,0.021815000000000,nan,0.019945000000000,0.028772500000000,0.026380000000000,0.023465000000000,0.020110000000000,0.016672500000000,0.018102500000000,0.031027500000000,0.022695000000000,nan,0.021402500000000,0.019092500000000,nan,nan,0.017580000000000,nan
27,1,0.027507500000000,0.032375000000000,0.039827500000000,0.028030000000000,0.029927500000000,0.030065000000000,0.038535000000000,0.037985000000000,0.029405000000000,0.049095000000000,0.031990000000000,0.042880000000000,0.032072500000000,0.028690000000000,0.029267500000000,0.027287500000000,0.026655000000000,0.021127500000000,0.025087500000000,nan,0.056712500000000,nan,0.076402500000000,nan,0.061085000000000,nan,0.037820000000000,0.043595000000000
28,1,nan,nan,0.028360000000000,0.015517500000000,nan,0.014802500000000,0.025967500000000,0.024592500000000,0.019010000000000,nan,nan,0.028772500000000,nan,0.020935000000000,0.015160000000000,nan,nan,0.023630000000000,nan,0.023272500000000,0.018982500000000,nan,nan,nan,0.018350000000000,nan,nan,0.013565000000000
