OID_,CID,L8_20140116_R,L8_20140217_R,L8_20140321_R,L8_20141015_R,L8_20141202_R,L8_20150119_R,L8_20150220_R,L8_20170108_R,L8_20170124_R,L8_20170516_R,L8_20171210_R,L8_20180316_R,L8_20181127_R,L8_20200117_R,L8_20200202_R,L8_20201116_R,L8_20201218_R,L8_20211119_R,L8_20211205_R,L8_20220106_R,L8_20220327_R,L8_20220412_R,L8_20221021_R,L8_20221208_R,L8_20221224_R,L8_20230314_R,L8_20230330_R,L8_20230922_R
462,1,0.043952500000000,0.057592500000000,0.044392500000000,0.048380000000000,0.049315000000000,0.052340000000000,0.055695000000000,0.045300000000000,0.054347500000000,0.065732500000000,0.068427500000000,0.081407500000000,0.058775000000000,0.071287500000000,0.072800000000000,0.053302500000000,0.067795000000000,0.062597500000000,0.060562500000000,0.059957500000000,0.061332500000000,0.053412500000000,0.047252500000000,0.056795000000000,0.059242500000000,0.052560000000000,0.059462500000000,0.044420000000000
463,1,0.018102500000000,0.022557500000000,0.026297500000000,0.018047500000000,0.020935000000000,0.018872500000000,0.022090000000000,0.026325000000000,0.029872500000000,0.058087500000000,0.027975000000000,0.046592500000000,0.022062500000000,0.028332500000000,0.027727500000000,0.020660000000000,0.023135000000000,0.024427500000000,0.025417500000000,0.023025000000000,0.032567500000000,0.033695000000000,0.103105000000000,0.084460000000000,0.087155000000000,0.068400000000000,0.095130000000000,0.079400000000000
464,1,0.020412500000000,0.024895000000000,0.041642500000000,0.020825000000000,0.022997500000000,0.027150000000000,0.032622500000000,0.031385000000000,0.026710000000000,0.066475000000000,0.027150000000000,0.039800000000000,0.025995000000000,0.027810000000000,0.028140000000000,0.022282500000000,0.021265000000000,0.024400000000000,0.024180000000000,0.022475000000000,0.031055000000000,0.046290000000000,0.030367500000000,0.021045000000000,0.020935000000000,0.026875000000000,0.028882500000000,0.025857500000000
465,1,0.031192500000000,0.037847500000000,0.041752500000000,0.025995000000000,0.030202500000000,0.028607500000000,0.036170000000000,0.025060000000000,0.026902500000000,0.049012500000000,0.024757500000000,0.036307500000000,0.021320000000000,0.026710000000000,0.024207500000000,0.022145000000000,0.021842500000000,0.083717500000000,0.091335000000000,0.083442500000000,0.064962500000000,0.097742500000000,0.069362500000000,0.065540000000000,0.067135000000000,0.085367500000000,0.094415000000000,0.044090000000000
466,1,0.023245000000000,0.027947500000000,0.037875000000000,0.022777500000000,0.026077500000000,0.022365000000000,0.027975000000000,0.022447500000000,0.024180000000000,0.044997500000000,0.020935000000000,0.035180000000000,0.019340000000000,0.023327500000000,0.021430000000000,0.018845000000000,0.019477500000000,0.079207500000000,0.084130000000000,0.077805000000000,0.072002500000000,0.098512500000000,0.086302500000000,0.082260000000000,0.082232500000000,0.076430000000000,0.096642500000000,0.043347500000000
467,1,0.025555000000000,0.033310000000000,0.038562500000000,0.023080000000000,0.024950000000000,0.024620000000000,0.031412500000000,0.022530000000000,0.025417500000000,0.047445000000000,0.023190000000000,0.037902500000000,0.019972500000000,0.028635000000000,0.027755000000000,0.050360000000000,0.055970000000000,0.065787500000000,0.073240000000000,0.064550000000000,0.069115000000000,0.080637500000000,0.062790000000000,0.058720000000000,0.059737500000000,0.067960000000000,0.076210000000000,0.043980000000000
468,1,0.015600000000000,0.021650000000000,0.025582500000000,0.016700000000000,0.020550000000000,0.016782500000000,0.021677500000000,0.070462500000000,0.084075000000000,0.125765000000000,0.037407500000000,0.086082500000000,0.041120000000000,0.047940000000000,0.048132500000000,0.026022500000000,0.026627500000000,0.028690000000000,0.026050000000000,0.026985000000000,0.030532500000000,0.032210000000000,0.026710000000000,0.023162500000000,0.025170000000000,0.027645000000000,0.028112500000000,0.017882500000000
469,1,0.023905000000000,0.028937500000000,0.034410000000000,0.022502500000000,0.024482500000000,0.020935000000000,0.027700000000000,0.036967500000000,0.042220000000000,0.070105000000000,0.034135000000000,0.056052500000000,0.032402500000000,0.039910000000000,0.039772500000000,0.029432500000000,0.031742500000000,0.033007500000000,0.032595000000000,0.030340000000000,0.042797500000000,0.044420000000000,0.030505000000000,0.028140000000000,0.031275000000000,0.038425000000000,0.043265000000000,0.050882500000000
470,1,0.024537500000000,0.027920000000000,0.030697500000000,0.016562500000000,0.022420000000000,0.025142500000000,0.028470000000000,0.025225000000000,0.024895000000000,0.022557500000000,0.021567500000000,0.029267500000000,0.019945000000000,0.026985000000000,0.024427500000000,0.020660000000000,0.021732500000000,0.021677500000000,0.023547500000000,0.023905000000000,0.025857500000000,0.021292500000000,0.019450000000000,0.022172500000000,0.022420000000000,0.020440000000000,0.019285000000000,0.017635000000000
471,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
472,1,0.023052500000000,0.026270000000000,0.028800000000000,0.020055000000000,0.023575000000000,0.023410000000000,0.025802500000000,0.023300000000000,0.022612500000000,0.021815000000000,0.022365000000000,0.027645000000000,0.020990000000000,0.026792500000000,0.024895000000000,0.022035000000000,0.022750000000000,0.023712500000000,0.024812500000000,0.022062500000000,0.027397500000000,0.024317500000000,0.021897500000000,0.023272500000000,0.022172500000000,0.024235000000000,0.023795000000000,0.019725000000000
473,1,0.026297500000000,0.032100000000000,0.036912500000000,0.018900000000000,0.022172500000000,0.021512500000000,0.025170000000000,0.020110000000000,0.020165000000000,0.034327500000000,0.020550000000000,0.025857500000000,0.016755000000000,0.021430000000000,0.021265000000000,0.015985000000000,0.019202500000000,0.021540000000000,0.020550000000000,0.018817500000000,0.025197500000000,0.026655000000000,0.020082500000000,0.020550000000000,0.019422500000000,0.020825000000000,0.024015000000000,0.018460000000000
474,1,0.022337500000000,0.025995000000000,0.031605000000000,0.017965000000000,0.023382500000000,0.021237500000000,0.029212500000000,0.023162500000000,0.026160000000000,0.046840000000000,0.019670000000000,0.032017500000000,0.018570000000000,0.023300000000000,0.022365000000000,0.017552500000000,0.070985000000000,0.044887500000000,0.050635000000000,0.050910000000000,0.053055000000000,0.054540000000000,0.039442500000000,0.046152500000000,0.084900000000000,0.085615000000000,0.106047500000000,0.052615000000000
475,1,0.018845000000000,0.018790000000000,0.022145000000000,0.015682500000000,0.021347500000000,0.017332500000000,0.019010000000000,0.016727500000000,0.018460000000000,0.024125000000000,0.017882500000000,0.023217500000000,0.019477500000000,0.023492500000000,0.020990000000000,0.016672500000000,0.016150000000000,0.018845000000000,0.018762500000000,0.017580000000000,0.023465000000000,0.022035000000000,0.017442500000000,0.019532500000000,0.019477500000000,0.022392500000000,0.024400000000000,0.016150000000000
476,1,0.013510000000000,0.014995000000000,0.022557500000000,0.012465000000000,0.013400000000000,0.013427500000000,0.015875000000000,0.049012500000000,0.058445000000000,0.102390000000000,0.040707500000000,0.072442500000000,0.038700000000000,0.044750000000000,0.045602500000000,0.025692500000000,0.026847500000000,0.021100000000000,0.023080000000000,0.022667500000000,0.034657500000000,0.034932500000000,0.020797500000000,0.020880000000000,0.019642500000000,0.027755000000000,0.032622500000000,0.017800000000000
477,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
478,1,0.042330000000000,0.050030000000000,0.053880000000000,0.029845000000000,0.037765000000000,0.041285000000000,0.051625000000000,0.034272500000000,0.033970000000000,0.042550000000000,0.027837500000000,0.041972500000000,0.022860000000000,0.036995000000000,0.036197500000000,0.022392500000000,0.024125000000000,0.022502500000000,0.021045000000000,0.020907500000000,0.028662500000000,0.026957500000000,0.025252500000000,0.026270000000000,0.023547500000000,0.027947500000000,0.027672500000000,0.024537500000000
479,1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
480,1,0.019285000000000,0.020825000000000,0.025582500000000,0.016342500000000,0.020880000000000,0.019065000000000,0.023355000000000,0.021100000000000,0.022805000000000,0.041972500000000,0.022365000000000,0.038205000000000,0.021347500000000,0.025885000000000,0.023822500000000,0.020605000000000,0.021292500000000,0.023685000000000,0.023520000000000,0.021210000000000,0.029597500000000,0.029817500000000,0.067795000000000,0.057097500000000,0.055200000000000,0.048682500000000,0.070132500000000,0.065842500000000
481,1,0.016810000000000,0.019340000000000,0.024042500000000,0.016590000000000,0.017965000000000,0.016260000000000,0.019532500000000,0.017552500000000,0.019065000000000,0.026655000000000,0.016727500000000,0.026985000000000,0.015270000000000,0.022502500000000,0.020660000000000,0.016122500000000,0.017800000000000,0.020632500000000,0.018790000000000,0.017112500000000,0.024812500000000,0.025390000000000,0.019560000000000,0.016095000000000,0.017882500000000,0.020082500000000,0.023052500000000,0.020247500000000
482,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
483,1,0.041862500000000,0.060672500000000,0.061607500000000,0.025280000000000,0.038535000000000,0.039277500000000,0.048160000000000,0.034162500000000,0.039442500000000,0.036527500000000,0.029350000000000,0.049315000000000,0.022915000000000,0.037957500000000,0.037765000000000,0.023465000000000,0.033860000000000,0.026132500000000,0.033475000000000,0.032155000000000,0.031385000000000,0.023492500000000,0.020660000000000,0.029350000000000,0.031082500000000,0.030312500000000,0.026270000000000,0.022007500000000
