OID_,CID,L7_20140124_NIR,L7_20140209_NIR,L7_20140313_NIR,L7_20141023_NIR,L7_20141210_NIR,L7_20150127_NIR,L7_20150212_NIR,L7_20170116_NIR,L7_20170201_NIR,L7_20170508_NIR,L7_20171202_NIR,L7_20180308_NIR,L7_20181205_NIR,L7_20200125_NIR,L7_20201124_NIR,L7_20201210_NIR,L7_20211127_NIR,L7_20211229_NIR,L7_20220114_NIR,L7_20220404_NIR,L7_20221024_NIR,L7_20221202_NIR,L7_20221214_NIR,L7_20221219_NIR,L7_20230319_NIR,L7_20230324_NIR,L7_20230916_NIR,L7_20230921_NIR
480,1,0.208375000000000,0.200180000000000,0.209090000000000,0.218385000000000,0.203782500000000,0.184120000000000,nan,0.236590000000000,0.228477500000000,0.241980000000000,0.208705000000000,0.208952500000000,0.174742500000000,0.226580000000000,0.218330000000000,0.228780000000000,0.242255000000000,nan,0.217835000000000,0.219897500000000,0.148177500000000,nan,0.160690000000000,0.145867500000000,0.123427500000000,nan,0.133740000000000,0.118532500000000
481,1,0.197705000000000,0.190472500000000,0.205075000000000,0.214040000000000,0.206422500000000,0.193222500000000,0.198392500000000,0.208952500000000,0.192480000000000,0.271460000000000,0.157940000000000,0.188850000000000,0.170727500000000,0.165502500000000,0.150350000000000,0.143612500000000,0.148755000000000,0.135280000000000,0.160057500000000,nan,0.190857500000000,nan,0.145730000000000,nan,0.210355000000000,nan,0.253172500000000,0.218440000000000
482,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
483,1,0.194212500000000,0.187035000000000,0.200977500000000,nan,0.206285000000000,0.186155000000000,0.195340000000000,0.212170000000000,0.208540000000000,0.341172500000000,0.218000000000000,nan,0.218907500000000,nan,0.216927500000000,0.228312500000000,0.215332500000000,0.201225000000000,0.202710000000000,0.310977500000000,0.234032500000000,nan,0.241650000000000,0.209310000000000,0.303167500000000,nan,0.267500000000000,0.245225000000000
484,1,0.242337500000000,0.234280000000000,0.235902500000000,0.238790000000000,0.245335000000000,nan,0.227735000000000,nan,nan,0.237057500000000,0.211317500000000,0.205295000000000,0.198475000000000,0.229412500000000,0.221135000000000,0.244592500000000,0.232272500000000,0.227102500000000,0.226607500000000,0.219237500000000,0.246875000000000,nan,0.249075000000000,0.238817500000000,0.229577500000000,nan,0.275035000000000,nan
485,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
486,1,0.173807500000000,0.159040000000000,0.166492500000000,nan,0.167895000000000,0.166685000000000,0.177052500000000,0.190857500000000,0.183020000000000,0.260487500000000,0.165530000000000,0.185577500000000,0.167702500000000,nan,0.154585000000000,0.163192500000000,0.153540000000000,0.140972500000000,0.136820000000000,0.164182500000000,0.173312500000000,nan,0.160305000000000,0.133905000000000,0.154970000000000,nan,0.198117500000000,0.179362500000000
487,1,nan,nan,nan,0.227047500000000,0.206945000000000,0.207357500000000,0.209200000000000,0.218907500000000,0.208952500000000,nan,nan,0.217092500000000,nan,0.197787500000000,nan,0.203755000000000,nan,0.202545000000000,nan,0.232822500000000,0.223087500000000,nan,nan,nan,0.211345000000000,nan,nan,0.233290000000000
488,1,0.170397500000000,0.165337500000000,0.174220000000000,0.188987500000000,0.178620000000000,0.176832500000000,0.183267500000000,0.201197500000000,0.195972500000000,0.243107500000000,0.179802500000000,0.201225000000000,0.191902500000000,0.187172500000000,0.184477500000000,0.195642500000000,0.203920000000000,0.171690000000000,0.179665000000000,nan,0.216927500000000,nan,0.236287500000000,nan,0.136050000000000,nan,nan,0.125352500000000
489,1,0.194432500000000,nan,nan,0.197017500000000,0.213682500000000,0.206807500000000,0.208182500000000,0.236617500000000,0.221712500000000,nan,nan,0.216597500000000,nan,0.240137500000000,nan,0.215690000000000,0.211565000000000,0.196825000000000,nan,0.187282500000000,0.247122500000000,nan,nan,0.192287500000000,0.217257500000000,nan,nan,0.239202500000000
490,1,nan,nan,0.220805000000000,0.223197500000000,0.182552500000000,0.187557500000000,0.203260000000000,0.172597500000000,0.173505000000000,nan,nan,0.213737500000000,nan,0.176585000000000,0.150982500000000,0.155327500000000,nan,0.130852500000000,nan,0.206532500000000,0.198200000000000,nan,nan,nan,0.186870000000000,nan,nan,0.152440000000000
491,1,0.218220000000000,0.193580000000000,0.220585000000000,0.209777500000000,0.203122500000000,0.190170000000000,0.196220000000000,0.195147500000000,0.199300000000000,0.261257500000000,0.183240000000000,0.213517500000000,0.181287500000000,0.169270000000000,nan,0.192562500000000,0.153347500000000,nan,0.184175000000000,0.210190000000000,0.148342500000000,nan,nan,0.098540000000000,0.173532500000000,nan,nan,0.192645000000000
492,1,0.215222500000000,0.209640000000000,nan,0.235132500000000,0.231530000000000,0.217395000000000,0.219045000000000,0.241622500000000,0.228230000000000,0.278555000000000,nan,0.221465000000000,0.202215000000000,0.219127500000000,nan,0.248470000000000,0.237030000000000,nan,0.222152500000000,0.237662500000000,0.241347500000000,nan,nan,0.204112500000000,0.230155000000000,nan,nan,0.239312500000000
493,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
494,1,0.177107500000000,0.171827500000000,0.185742500000000,0.188932500000000,0.186155000000000,nan,0.183267500000000,nan,0.189620000000000,0.256115000000000,0.190802500000000,0.189950000000000,0.140065000000000,0.176777500000000,0.165832500000000,0.172240000000000,0.187255000000000,0.188245000000000,0.193772500000000,0.186925000000000,0.203727500000000,nan,0.230017500000000,0.215910000000000,0.179747500000000,nan,0.225507500000000,0.206175000000000
495,1,0.211400000000000,0.202710000000000,0.208925000000000,0.230760000000000,0.220942500000000,0.213847500000000,0.218825000000000,0.234582500000000,0.228147500000000,0.274237500000000,0.218027500000000,0.217010000000000,0.215607500000000,0.218852500000000,0.221025000000000,0.251550000000000,0.245170000000000,0.217175000000000,0.226800000000000,nan,0.247205000000000,nan,0.256362500000000,nan,0.229770000000000,nan,nan,0.252760000000000
496,1,0.204195000000000,0.199657500000000,0.205047500000000,0.222427500000000,0.217835000000000,0.204030000000000,0.205075000000000,0.223335000000000,0.208897500000000,0.249075000000000,0.215387500000000,nan,0.191710000000000,nan,0.210080000000000,0.234087500000000,0.220970000000000,0.202545000000000,0.212692500000000,0.205735000000000,0.228725000000000,nan,0.229660000000000,0.209970000000000,0.198200000000000,nan,0.232685000000000,nan
497,1,0.152935000000000,0.156070000000000,0.154887500000000,0.151285000000000,0.153980000000000,0.143255000000000,0.148095000000000,0.177657500000000,nan,0.253062500000000,0.162285000000000,nan,0.112537500000000,0.173065000000000,0.184725000000000,0.196797500000000,0.191215000000000,0.210080000000000,0.189262500000000,0.200867500000000,0.191875000000000,nan,0.223445000000000,0.204415000000000,0.192287500000000,nan,0.225562500000000,nan
498,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
499,1,0.197870000000000,0.196550000000000,0.201197500000000,0.214012500000000,0.220695000000000,0.203672500000000,nan,0.220117500000000,0.218577500000000,0.243740000000000,0.208320000000000,0.208897500000000,0.212115000000000,0.222427500000000,0.221162500000000,0.242585000000000,0.240825000000000,nan,0.221932500000000,0.228395000000000,0.253475000000000,nan,0.249570000000000,0.209750000000000,0.235600000000000,nan,0.211427500000000,0.205927500000000
500,1,0.177080000000000,0.174495000000000,0.177932500000000,0.197045000000000,0.192507500000000,0.179610000000000,0.189152500000000,0.215140000000000,0.202270000000000,0.260350000000000,0.200977500000000,nan,0.198695000000000,0.229550000000000,0.139542500000000,0.175017500000000,0.194900000000000,0.166272500000000,0.193635000000000,0.173587500000000,0.259497500000000,nan,0.249295000000000,0.215690000000000,nan,nan,0.282680000000000,nan
501,1,0.211537500000000,0.196660000000000,0.208925000000000,nan,0.207082500000000,0.203947500000000,0.208402500000000,0.227047500000000,0.212060000000000,0.276465000000000,0.211840000000000,0.212940000000000,0.201967500000000,nan,0.210135000000000,0.234142500000000,0.224847500000000,0.207357500000000,0.198365000000000,0.219732500000000,0.234885000000000,nan,0.236590000000000,nan,0.223142500000000,nan,0.253805000000000,0.246160000000000
